Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type,Location of Breached Information,Business Associate Present,Breach Submission Time,Breach Submission Datetime,Year,,
One Brooklyn Health System,NY,Healthcare Provider,500,1/18/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/18/2023 0:00,2023,,
Health Plan of San Mateo,CA,Health Plan,4032,1/18/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/18/2023 0:00,2023,,
"mscripts®, LLC",CA,Business Associate,66372,1/17/2023,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,1/17/2023 0:00,2023,,
University of Colorado Hospital Authority,CO,Healthcare Provider,48879,1/17/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/17/2023 0:00,2023,,
"Community Health Network, Inc.",IN,Business Associate,1237,1/13/2023,Unauthorized Access/Disclosure,"Network Server, Other",Yes,12:00:00 AM,1/13/2023 0:00,2023,,
1st Franklin Financial Corporation Master Welfare Benefit Plan,GA,Health Plan,3039,1/13/2023,Hacking/IT Incident,Email,No,12:00:00 AM,1/13/2023 0:00,2023,,
Intelligent Business Solutions,NC,Business Associate,500,1/13/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/13/2023 0:00,2023,,
Jefferson County Health Center d/b/a Jefferson County Health Department,MO,Healthcare Provider,115940,1/13/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/13/2023 0:00,2023,,
"DPP II, LLC",TX,Healthcare Provider,125981,1/12/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/12/2023 0:00,2023,,
Dr. Keith Rundle & Dr. Herman Rundle,CA,Healthcare Provider,7528,1/12/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/12/2023 0:00,2023,,
UCLA Health,CA,Healthcare Provider,94000,1/12/2023,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,1/12/2023 0:00,2023,,
Minnesota Department of Human Services,MN,Health Plan,4307,1/11/2023,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,1/11/2023 0:00,2023,,
"Community Psychiatry Management, LLC, dba Mindpath Health",NC,Healthcare Provider,193947,1/10/2023,Hacking/IT Incident,Email,No,12:00:00 AM,1/10/2023 0:00,2023,,
1020 South Main Street Operations LLC,PA,Healthcare Provider,702,1/10/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/10/2023 0:00,2023,,
225 Evergreen Road Operations LLC,PA,Healthcare Provider,931,1/10/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/10/2023 0:00,2023,,
Macoby Street Operations LLC d/b/a Pennsburg Manor,PA,Healthcare Provider,1547,1/10/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/10/2023 0:00,2023,,
"BayCare Clinic, LLP",WI,Healthcare Provider,134000,1/6/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,12:00:00 AM,1/6/2023 0:00,2023,,
"Vascular Institute of Houston, PLLC",TX,Healthcare Provider,1195,1/5/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,12:00:00 AM,1/5/2023 0:00,2023,,
"Vascular Institute of North Texas, PLLC",TX,Healthcare Provider,5853,1/5/2023,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,12:00:00 AM,1/5/2023 0:00,2023,,
Pershing Health System,MO,Healthcare Provider,5368,1/5/2023,Hacking/IT Incident,Email,No,12:00:00 AM,1/5/2023 0:00,2023,,
Insulet Corporation,MA,Healthcare Provider,29000,1/5/2023,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,1/5/2023 0:00,2023,,
Texas Orthopaedic & Sports Medicine,TX,Healthcare Provider,1064,1/5/2023,Hacking/IT Incident,"Electronic Medical Record, Laptop",No,12:00:00 AM,1/5/2023 0:00,2023,,
Lantern Hill Retirement Community,NJ,Healthcare Provider,528,1/5/2023,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,1/5/2023 0:00,2023,,
Live Oak Surgery Center,TX,Healthcare Provider,5264,1/3/2023,Hacking/IT Incident,Email,No,12:00:00 AM,1/3/2023 0:00,2023,,
Barclay Damon LLP,NY,Business Associate,1039,1/3/2023,Hacking/IT Incident,Email,Yes,12:00:00 AM,1/3/2023 0:00,2023,,
"Circles of Care, Inc.",FL,Healthcare Provider,61170,1/3/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/3/2023 0:00,2023,,
"Bay Bridge Administrators, LLC",TX,Business Associate,187742,12/30/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,12/30/2022 0:00,2022,,
Fitzgibbon Hospital,MO,Healthcare Provider,112072,12/30/2022,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,12/30/2022 0:00,2022,,
NR Florida Associates LLC,FL,Healthcare Provider,6250,12/30/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/30/2022 0:00,2022,,
The Kelberman Center,NY,Healthcare Provider,3501,12/30/2022,Hacking/IT Incident,Email,No,12:00:00 AM,12/30/2022 0:00,2022,,
"L. Knife & Son, Inc. Employee Benefits Plan",MA,Health Plan,4082,12/30/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/30/2022 0:00,2022,,
MJ Care,WI,Business Associate,1832,12/29/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,12/29/2022 0:00,2022,,
"Verisma Systems, Inc.",VA,Business Associate,1031,12/29/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,12/29/2022 0:00,2022,,
"Verisma Systems, Inc.",VA,Business Associate,1586,12/29/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,12/29/2022 0:00,2022,,
"Bosselman Energy, Inc. Employee Health Benefits Plan",NE,Health Plan,735,12/29/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/29/2022 0:00,2022,,
CellNetix Pathology & Laboratories,WA,Healthcare Provider,1969,12/28/2022,Hacking/IT Incident,Email,No,12:00:00 AM,12/28/2022 0:00,2022,,
Aetna ACE,CT,Health Plan,4222,12/27/2022,Hacking/IT Incident,Email,No,12:00:00 AM,12/27/2022 0:00,2022,,
Quality Behavioral Health,WA,Healthcare Provider,3498,12/26/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/26/2022 0:00,2022,,
"Cedar Cares, Inc. f/k/a Careportal",NY,Business Associate,1205,12/23/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,12/23/2022 0:00,2022,,
"Midwest Orthopaedic Consultants, S.C.",IL,Healthcare Provider,6818,12/22/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/22/2022 0:00,2022,,
Legacy Operating Company d/b/a Legacy Hospice,AL,Healthcare Provider,21202,12/22/2022,Hacking/IT Incident,Email,No,12:00:00 AM,12/22/2022 0:00,2022,,
"Southwest Louisiana Health Care System, Inc. d/b/a Lake Charles Memorial Health System",LA,Healthcare Provider,269752,12/22/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/22/2022 0:00,2022,,
University of Miami,FL,Healthcare Provider,973,12/22/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,12/22/2022 0:00,2022,,
"Sequoia Benefits and Insurance Services, LLC, d/b/a Sequoia Consulting Group",CA,Business Associate,4265,12/20/2022,Hacking/IT Incident,Other,Yes,12:00:00 AM,12/20/2022 0:00,2022,,
Bay City Health & Rehabilitation Center,TX,Healthcare Provider,2000,12/20/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/20/2022 0:00,2022,,
Louis A. Johnson Veterans' Administration Medical Center,WV,Healthcare Provider,736,12/20/2022,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,12/20/2022 0:00,2022,,
Prairie Lakes Healthcare System,SD,Healthcare Provider,1060,12/20/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/20/2022 0:00,2022,,
Three Rivers Provider Network,CA,Business Associate,4596,12/19/2022,Unauthorized Access/Disclosure,Email,Yes,12:00:00 AM,12/19/2022 0:00,2022,,
MITCON,MI,Business Associate,1131,12/19/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/19/2022 0:00,2022,,
Metropolitan Area EMS Authority dba MedStar Mobile Healthcare,TX,Healthcare Provider,612000,12/19/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/19/2022 0:00,2022,,
Hawaiian Eye Center,HI,Healthcare Provider,14524,12/19/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/19/2022 0:00,2022,,
Monarch,NC,Healthcare Provider,56155,12/16/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/16/2022 0:00,2022,,
"Foundcare, Inc.",FL,Healthcare Provider,14194,12/16/2022,Hacking/IT Incident,Email,No,12:00:00 AM,12/16/2022 0:00,2022,,
"AAA Collections, Inc.",SD,Business Associate,4635,12/15/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/15/2022 0:00,2022,,
The Elizabeth Hospice,CA,Healthcare Provider,35496,12/14/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,12/14/2022 0:00,2022,,
Ola Equipment LLC,HI,Business Associate,39000,12/14/2022,Theft,"Desktop Computer, Electronic Medical Record, Laptop, Network Server, Other Portable Electronic Device, Paper/Films",Yes,12:00:00 AM,12/14/2022 0:00,2022,,
Avem Health Partners,OK,Business Associate,271303,12/13/2022,Hacking/IT Incident,Other,Yes,12:00:00 AM,12/13/2022 0:00,2022,,
"Robert S Miller, LICSW, ACSW, PLLC",WA,Healthcare Provider,902,12/13/2022,Hacking/IT Incident,Laptop,No,12:00:00 AM,12/13/2022 0:00,2022,,
Sleep Center Hawaii,HI,Healthcare Provider,5396,12/12/2022,Hacking/IT Incident,Email,No,12:00:00 AM,12/12/2022 0:00,2022,,
KEMET Electronics Medical/Dental/EAP,FL,Health Plan,2927,12/9/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/9/2022 0:00,2022,,
"Teter Orthotics & Prosthetics, Inc.",TX,Healthcare Provider,1354,12/9/2022,Hacking/IT Incident,Email,No,12:00:00 AM,12/9/2022 0:00,2022,,
"Pediatrics West, P.C.",MA,Healthcare Provider,1364,12/9/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/9/2022 0:00,2022,,
San Gorgonio Memorial Hospital,CA,Healthcare Provider,16846,12/8/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/8/2022 0:00,2022,,
Rhode Island Department of Health,RI,Healthcare Provider,8800,12/7/2022,Unauthorized Access/Disclosure,Email,Yes,12:00:00 AM,12/7/2022 0:00,2022,,
Blakehurst,MD,Healthcare Provider,1047,12/6/2022,Hacking/IT Incident,Email,No,12:00:00 AM,12/6/2022 0:00,2022,,
Emory Healthcare,GA,Healthcare Provider,1891,12/6/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,12/6/2022 0:00,2022,,
"Employee Group Insurance Benefits Plan of Acuity Brands, Inc.",GA,Health Plan,20849,12/6/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,12/6/2022 0:00,2022,,
Polsinelli PC,MO,Business Associate,1220,12/2/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/2/2022 0:00,2022,,
NYC Health + Hospitals,NY,Healthcare Provider,2174,12/2/2022,Loss,Other Portable Electronic Device,No,12:00:00 AM,12/2/2022 0:00,2022,,
CommonSpirit Health,IL,Business Associate,623774,12/1/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,12/1/2022 0:00,2022,,
Easton Cardiovascular,PA,Business Associate,883,11/30/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/30/2022 0:00,2022,,
"Peter J. Isaac, D.O.",PA,Business Associate,6390,11/30/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/30/2022 0:00,2022,,
"Dr. Douglas C. Shoenberger,PC",PA,Business Associate,8179,11/30/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/30/2022 0:00,2022,,
"MaryAnne Freeman Brndjar, DO, PC",PA,Business Associate,2491,11/30/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/30/2022 0:00,2022,,
"Dermatology & Skin Cancer Ctr, PC",PA,Business Associate,5423,11/30/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/30/2022 0:00,2022,,
"Ellen M. Field, M.D.",PA,Business Associate,4438,11/30/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/30/2022 0:00,2022,,
Pendurthi Surgical Associates,PA,Business Associate,7925,11/30/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/30/2022 0:00,2022,,
"NU House Calls, PC",PA,Business Associate,552,11/30/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/30/2022 0:00,2022,,
Lehigh Valley Women's Specialties,PA,Business Associate,4535,11/30/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/30/2022 0:00,2022,,
Klamath County,OR,Healthcare Provider,547,11/29/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,11/29/2022 0:00,2022,,
Keck Medicine of USC,CA,Healthcare Provider,2200,11/29/2022,Hacking/IT Incident,Email,No,12:00:00 AM,11/29/2022 0:00,2022,,
Legacy Health,OR,Healthcare Provider,8065,11/23/2022,Theft,Other Portable Electronic Device,No,12:00:00 AM,11/23/2022 0:00,2022,,
Dallam Hartley Counties Hospital District,TX,Healthcare Provider,69835,11/23/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/23/2022 0:00,2022,,
Compton & Broomhead Dental Center,IN,Healthcare Provider,1307,11/23/2022,Hacking/IT Incident,Email,No,12:00:00 AM,11/23/2022 0:00,2022,,
Mena Regional Health System,AR,Healthcare Provider,84814,11/22/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/22/2022 0:00,2022,,
Hope Health Systems Inc.,MD,Healthcare Provider,9972,11/21/2022,Hacking/IT Incident,Electronic Medical Record,No,12:00:00 AM,11/21/2022 0:00,2022,,
Orlando Health,FL,Healthcare Provider,3662,11/18/2022,Hacking/IT Incident,Email,No,12:00:00 AM,11/18/2022 0:00,2022,,
Wright & Filippis LLC,MI,Healthcare Provider,877584,11/18/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/18/2022 0:00,2022,,
"Nuance Communications, Inc.",MA,Business Associate,4830,11/18/2022,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,12:00:00 AM,11/18/2022 0:00,2022,,
"Community Health Network, Inc. as an Affiliated Covered Entity",IN,Healthcare Provider,1500000,11/18/2022,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,11/18/2022 0:00,2022,,
CareFirst Administrators,MD,Health Plan,14538,11/18/2022,Hacking/IT Incident,Email,Yes,12:00:00 AM,11/18/2022 0:00,2022,,
Gateway Rehabilitation Center,PA,Healthcare Provider,130000,11/18/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/18/2022 0:00,2022,,
University Medical Center of Southern Nevada,NV,Healthcare Provider,1861,11/17/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,11/17/2022 0:00,2022,,
"CONSUMER DIRECTED SERVICES IN TEXAS, INC.",TX,Healthcare Provider,56728,11/17/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/17/2022 0:00,2022,,
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",CA,Health Plan,8556,11/17/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,11/17/2022 0:00,2022,,
"Innovative Service Technology Management Services, Inc.",GA,Health Plan,2654,11/17/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/17/2022 0:00,2022,,
"Rosenfeld VanWirt, PC",PA,Business Associate,18719,11/16/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/16/2022 0:00,2022,,
South Walton Fire District,FL,Healthcare Provider,25331,11/15/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/15/2022 0:00,2022,,
Arkansas Department of Human Services,AR,Health Plan,925,11/15/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,11/15/2022 0:00,2022,,
Docs Medical Inc,CT,Healthcare Provider,3146,11/15/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/15/2022 0:00,2022,,
"CCA Health Plans of California, Inc d/b/a CCA Health CA",CA,Health Plan,14631,11/15/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/15/2022 0:00,2022,,
Yakima Neighborhood Health Services,WA,Healthcare Provider,2689,11/14/2022,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,11/14/2022 0:00,2022,,
Epic Management LLC,TN,Healthcare Provider,10862,11/14/2022,Hacking/IT Incident,Email,No,12:00:00 AM,11/14/2022 0:00,2022,,
"Health Care Management Solutions, LLC",WV,Business Associate,500000,11/14/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/14/2022 0:00,2022,,
"Dialpad, Inc.",CA,Business Associate,1682,11/14/2022,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,11/14/2022 0:00,2022,,
Yale University,CT,Healthcare Provider,9051,11/11/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/11/2022 0:00,2022,,
NewYork-Presbyterian Hospital,NY,Healthcare Provider,12000,11/11/2022,Hacking/IT Incident,Laptop,No,12:00:00 AM,11/11/2022 0:00,2022,,
"Stanley Street Treatment and Resources, Inc.",MA,Healthcare Provider,45785,11/11/2022,Hacking/IT Incident,Network Server,No,12:00:00 AM,11/11/2022 0:00,2022,,
"Connexin Software, Inc.",PA,Business Associate,2216365,11/11/2022,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,11/11/2022 0:00,2022,,
